STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170122,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170123,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170124,-9999,-9999,1.33,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170125,-9999,-9999,0.45,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170126,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170127,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170128,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170129,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170130,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170131,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170201,-9999,-9999,0.09,1.5,2,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170202,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170203,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170204,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170205,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170206,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170207,-9999,-9999,0.04,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170208,-9999,-9999,0.3,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170209,-9999,-9999,0.43,3.5,3.5,-9999,-9999,-9999,-9999
